input,output,modulus,operation
( 89 + 52 ) % 10,1,10,addition
( 41 * 79 ) % 10,9,10,addition
( 40 + 93 ) % 10,3,10,addition
( 2 * 80 ) % 10,0,10,addition
( 68 * 31 ) % 10,8,10,addition
( 19 + 48 ) % 10,7,10,addition
( 14 * 39 ) % 10,6,10,addition
( 64 * 72 ) % 10,8,10,addition
( 81 + 43 ) % 10,4,10,addition
( 40 + 36 ) % 10,6,10,addition
( 39 * 93 ) % 10,7,10,addition
( 93 + 25 ) % 10,8,10,addition
( 4 * 20 ) % 10,0,10,addition
( 91 + 6 ) % 10,7,10,addition
( 82 * 45 ) % 10,0,10,addition
( 60 + 21 ) % 10,1,10,addition
( 79 * 44 ) % 10,6,10,addition
( 28 * 84 ) % 10,2,10,addition
( 94 * 89 ) % 10,6,10,addition
( 43 * 26 ) % 10,8,10,addition
( 21 * 24 ) % 10,4,10,addition
( 89 + 40 ) % 10,9,10,addition
( 50 * 5 ) % 10,0,10,addition
( 76 + 69 ) % 10,5,10,addition
( 33 + 66 ) % 10,9,10,addition
( 38 + 30 ) % 10,8,10,addition
( 25 * 2 ) % 10,0,10,addition
( 1 * 42 ) % 10,2,10,addition
( 62 * 60 ) % 10,0,10,addition
( 11 * 16 ) % 10,6,10,addition
( 25 + 43 ) % 10,8,10,addition
( 37 * 50 ) % 10,0,10,addition
( 3 + 80 ) % 10,3,10,addition
( 82 * 97 ) % 10,4,10,addition
( 97 + 24 ) % 10,1,10,addition
( 70 * 77 ) % 10,0,10,addition
( 63 * 97 ) % 10,1,10,addition
( 2 + 68 ) % 10,0,10,addition
( 72 * 6 ) % 10,2,10,addition
( 67 + 27 ) % 10,4,10,addition
( 34 + 39 ) % 10,3,10,addition
( 27 + 60 ) % 10,7,10,addition
( 83 * 83 ) % 10,9,10,addition
( 60 + 91 ) % 10,1,10,addition
( 30 + 30 ) % 10,0,10,addition
( 32 + 55 ) % 10,7,10,addition
( 81 + 96 ) % 10,7,10,addition
( 73 + 67 ) % 10,0,10,addition
( 40 + 58 ) % 10,8,10,addition
( 79 * 80 ) % 10,0,10,addition
( 29 * 18 ) % 10,2,10,addition
( 76 + 84 ) % 10,0,10,addition
( 39 + 1 ) % 10,0,10,addition
( 49 + 88 ) % 10,7,10,addition
( 38 + 55 ) % 10,3,10,addition
( 62 * 92 ) % 10,4,10,addition
( 5 + 45 ) % 10,0,10,addition
( 87 + 87 ) % 10,4,10,addition
( 4 * 0 ) % 10,0,10,addition
( 69 * 85 ) % 10,5,10,addition
( 34 * 95 ) % 10,0,10,addition
( 85 * 14 ) % 10,0,10,addition
( 27 + 62 ) % 10,9,10,addition
( 23 + 38 ) % 10,1,10,addition
( 29 + 99 ) % 10,8,10,addition
( 47 * 75 ) % 10,5,10,addition
( 52 + 4 ) % 10,6,10,addition
( 65 * 42 ) % 10,0,10,addition
( 54 * 96 ) % 10,4,10,addition
( 36 * 81 ) % 10,6,10,addition
( 48 * 23 ) % 10,4,10,addition
( 68 + 37 ) % 10,5,10,addition
( 18 + 60 ) % 10,8,10,addition
( 36 + 61 ) % 10,7,10,addition
( 32 * 38 ) % 10,6,10,addition
( 17 * 30 ) % 10,0,10,addition
( 95 + 30 ) % 10,5,10,addition
( 37 + 40 ) % 10,7,10,addition
( 45 + 54 ) % 10,9,10,addition
( 70 + 36 ) % 10,6,10,addition
( 98 * 80 ) % 10,0,10,addition
( 69 + 14 ) % 10,3,10,addition
( 57 * 14 ) % 10,8,10,addition
( 88 + 93 ) % 10,1,10,addition
( 51 + 21 ) % 10,2,10,addition
