input,output,modulus,operation
(70 * 66 * 2) % 10,0,10,multiplication
(80 + 33 + 79) % 10,2,10,addition
(18 + 34 * 74) % 10,4,10,addAndMulti
(56 + 62 + 98) % 10,6,10,addition
(73 * 73 + 78) % 10,7,10,addAndMulti
(61 + 51 + 50) % 10,2,10,addition
(64 + 60 + 7) % 10,1,10,addition
(86 * 94 + 67) % 10,1,10,addAndMulti
(50 * 38 * 52) % 10,0,10,multiplication
(30 * 53 * 56) % 10,0,10,multiplication
(6 + 57 + 33) % 10,6,10,addition
(63 * 9 + 62) % 10,9,10,addAndMulti
(24 * 19 * 60) % 10,0,10,multiplication
(91 + 4 + 96) % 10,1,10,addition
(97 * 84 + 71) % 10,9,10,addAndMulti
(52 * 10 + 39) % 10,9,10,addAndMulti
(30 + 24 + 90) % 10,4,10,addition
(94 + 30 + 53) % 10,7,10,addition
(27 + 39 + 60) % 10,6,10,addition
(81 + 69 * 84) % 10,7,10,addAndMulti
(51 + 40 * 71) % 10,1,10,addAndMulti
(94 + 27 + 40) % 10,1,10,addition
(80 * 2 + 20) % 10,0,10,addAndMulti
(63 + 64 + 72) % 10,9,10,addition
(60 + 15 + 56) % 10,1,10,addition
(96 * 41 * 95) % 10,0,10,multiplication
(28 * 65 * 90) % 10,0,10,multiplication
(91 + 80 * 14) % 10,1,10,addAndMulti
(76 + 79 + 43) % 10,8,10,addition
(81 * 21 + 38) % 10,9,10,addAndMulti
(33 * 62 + 27) % 10,3,10,addAndMulti
(87 + 25 * 23) % 10,2,10,addAndMulti
(49 + 8 + 37) % 10,4,10,addition
(62 * 98 * 11) % 10,6,10,multiplication
(76 + 11 + 24) % 10,1,10,addition
(98 * 65 * 82) % 10,0,10,multiplication
(48 * 0 * 4) % 10,0,10,multiplication
(41 + 10 * 31) % 10,1,10,addAndMulti
(27 + 3 + 20) % 10,0,10,addition
(4 * 40 * 51) % 10,0,10,multiplication
(23 * 61 + 8) % 10,1,10,addAndMulti
(37 * 54 + 15) % 10,3,10,addAndMulti
(61 * 71 * 46) % 10,6,10,multiplication
(11 + 55 * 51) % 10,6,10,addAndMulti
(44 * 5 * 24) % 10,0,10,multiplication
(30 * 48 * 49) % 10,0,10,multiplication
(52 + 14 + 20) % 10,6,10,addition
(65 * 42 * 2) % 10,0,10,multiplication
(43 * 65 + 69) % 10,4,10,addAndMulti
(21 * 70 * 18) % 10,0,10,multiplication
(78 * 33 + 96) % 10,0,10,addAndMulti
(80 + 78 * 20) % 10,0,10,addAndMulti
(43 + 58 + 43) % 10,4,10,addition
(86 * 74 + 90) % 10,4,10,addAndMulti
(66 + 14 * 39) % 10,2,10,addAndMulti
(13 + 73 + 91) % 10,7,10,addition
(24 + 10 * 51) % 10,4,10,addAndMulti
(97 * 18 + 47) % 10,3,10,addAndMulti
(32 + 52 + 23) % 10,7,10,addition
(9 * 40 * 64) % 10,0,10,multiplication
(20 * 20 + 89) % 10,9,10,addAndMulti
(80 + 17 * 70) % 10,0,10,addAndMulti
(57 * 58 * 1) % 10,6,10,multiplication
(37 * 89 * 88) % 10,4,10,multiplication
(97 + 32 * 38) % 10,3,10,addAndMulti
(25 * 91 * 17) % 10,5,10,multiplication
(0 + 24 * 78) % 10,2,10,addAndMulti
(79 + 51 + 19) % 10,9,10,addition
(4 + 76 * 62) % 10,6,10,addAndMulti
(64 + 25 + 81) % 10,0,10,addition
(58 * 46 + 96) % 10,4,10,addAndMulti
(97 * 42 * 15) % 10,0,10,multiplication
(12 + 90 + 37) % 10,9,10,addition
(28 * 11 * 67) % 10,6,10,multiplication
(95 * 42 + 83) % 10,3,10,addAndMulti
(80 + 26 * 16) % 10,6,10,addAndMulti
(8 * 74 + 80) % 10,2,10,addAndMulti
(56 * 25 + 16) % 10,6,10,addAndMulti
(33 * 53 + 7) % 10,6,10,addAndMulti
(49 + 44 + 16) % 10,9,10,addition
(43 + 66 + 65) % 10,4,10,addition
(23 * 81 * 95) % 10,5,10,multiplication
(52 * 50 + 1) % 10,1,10,addAndMulti
(73 * 32 * 71) % 10,6,10,multiplication
(6 + 94 + 48) % 10,8,10,addition
(54 + 46 * 20) % 10,4,10,addAndMulti
(80 * 3 * 86) % 10,0,10,multiplication
(42 + 75 * 58) % 10,2,10,addAndMulti
(39 * 85 * 38) % 10,0,10,multiplication
(69 + 69 * 77) % 10,2,10,addAndMulti
(51 + 1 + 41) % 10,3,10,addition
(64 * 37 + 41) % 10,9,10,addAndMulti
(97 + 25 + 69) % 10,1,10,addition
(46 * 53 + 62) % 10,0,10,addAndMulti
(47 * 24 + 8) % 10,6,10,addAndMulti
(51 * 14 + 84) % 10,8,10,addAndMulti
(29 + 11 * 32) % 10,1,10,addAndMulti
(87 + 71 * 13) % 10,0,10,addAndMulti
(50 + 95 + 92) % 10,7,10,addition
(85 * 62 + 85) % 10,5,10,addAndMulti
(16 + 89 + 31) % 10,6,10,addition
(11 * 51 + 82) % 10,3,10,addAndMulti
(4 + 72 + 94) % 10,0,10,addition
(9 + 9 * 15) % 10,4,10,addAndMulti
(31 + 70 * 96) % 10,1,10,addAndMulti
(37 * 72 * 50) % 10,0,10,multiplication
(72 * 80 * 76) % 10,0,10,multiplication
(46 + 23 + 27) % 10,6,10,addition
(60 * 62 * 14) % 10,0,10,multiplication
